date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:29	57785/57785	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:08%20GMT	https://bizweb.dktcdn.net/100/321/299/products/9611051761694.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/100/321/299/products/9611051761694a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:29	27122/27122	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:08%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9604899471390.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9604899471390a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:31	28392/28392	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:10%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9519375745054.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9519375745054a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:35	27325/27325	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:14%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9608591310878.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9608591310878a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:40	53917/53917	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021%20Dec%202021%2007:29:09%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9611051761694.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9611051761694a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:40	27474/27474	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:18%20GMT	http://bizweb.dktcdn.net/thumb/medium/100/321/299/products/9611051761694.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/medium/100/321/299/products/9611051761694a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:40	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.e6.delayed	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:50	155970/155970	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:10%20GMT	http://bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9519375745054.jpg?v=1531752178083	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/1024x1024/100/321/299/products/9519375745054a57b.jpg	(from https://ant-construction.mysapo.net/may-cat-sat-bosch-gco-200-2000w-3-to-giay-nham)
22:07:52	74991/74991	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Nov%202022%2015:08:24%20GMT	http://bizweb.dktcdn.net/thumb/grande/100/321/299/products/maykhoan.jpg?v=1531752175557	D:/Desktop/antconstruction/ant-construction/bizweb.dktcdn.net/thumb/grande/100/321/299/products/maykhoanf7bd.jpg	(from https://ant-construction.mysapo.net/may-khoan-professional-bosch-gbm-320-320w-xanh-duong)
22:07:52	0/-1	---M--	302	error ('')			https://ant-construction.mysapo.net/checkout	D:/Desktop/antconstruction/ant-construction/ant-construction.mysapo.net/checkout.eb.delayed	(from https://ant-construction.mysapo.net/may-khoan-professional-bosch-gbm-320-320w-xanh-duong)
